"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births
	"Hawaii"	"15"	"2017"	"2017"	17517
	"Idaho"	"16"	"2007"	"2007"	25019
	"Idaho"	"16"	"2008"	"2008"	25149
	"Idaho"	"16"	"2009"	"2009"	23737
	"Idaho"	"16"	"2010"	"2010"	23198
	"Idaho"	"16"	"2011"	"2011"	22305
	"Idaho"	"16"	"2012"	"2012"	22963
	"Idaho"	"16"	"2013"	"2013"	22383
	"Idaho"	"16"	"2014"	"2014"	22876
	"Idaho"	"16"	"2015"	"2015"	22827
	"Idaho"	"16"	"2016"	"2016"	22482
	"Idaho"	"16"	"2017"	"2017"	22181
	"Illinois"	"17"	"2007"	"2007"	180836
	"Illinois"	"17"	"2008"	"2008"	176795
	"Illinois"	"17"	"2009"	"2009"	171163
	"Illinois"	"17"	"2010"	"2010"	165200
	"Illinois"	"17"	"2011"	"2011"	161312
	"Illinois"	"17"	"2012"	"2012"	159160
	"Illinois"	"17"	"2013"	"2013"	156931
	"Illinois"	"17"	"2014"	"2014"	158556
	"Illinois"	"17"	"2015"	"2015"	158116
	"Illinois"	"17"	"2016"	"2016"	154445
	"Illinois"	"17"	"2017"	"2017"	149390
	"Indiana"	"18"	"2007"	"2007"	89864
	"Indiana"	"18"	"2008"	"2008"	88742
	"Indiana"	"18"	"2009"	"2009"	86673
	"Indiana"	"18"	"2010"	"2010"	83940
	"Indiana"	"18"	"2011"	"2011"	83701
	"Indiana"	"18"	"2012"	"2012"	83227
	"Indiana"	"18"	"2013"	"2013"	83102
	"Indiana"	"18"	"2014"	"2014"	84080
	"Indiana"	"18"	"2015"	"2015"	84040
	"Indiana"	"18"	"2016"	"2016"	83091
	"Indiana"	"18"	"2017"	"2017"	82170
	"Iowa"	"19"	"2007"	"2007"	40886
	"Iowa"	"19"	"2008"	"2008"	40224
	"Iowa"	"19"	"2009"	"2009"	39701
	"Iowa"	"19"	"2010"	"2010"	38719
	"Iowa"	"19"	"2011"	"2011"	38214
	"Iowa"	"19"	"2012"	"2012"	38702
	"Iowa"	"19"	"2013"	"2013"	39094
	"Iowa"	"19"	"2014"	"2014"	39687
	"Iowa"	"19"	"2015"	"2015"	39482
	"Iowa"	"19"	"2016"	"2016"	39403
	"Iowa"	"19"	"2017"	"2017"	38430
	"Kansas"	"20"	"2007"	"2007"	42004
	"Kansas"	"20"	"2008"	"2008"	41833
	"Kansas"	"20"	"2009"	"2009"	41396
	"Kansas"	"20"	"2010"	"2010"	40649
	"Kansas"	"20"	"2011"	"2011"	39642
	"Kansas"	"20"	"2012"	"2012"	40341
	"Kansas"	"20"	"2013"	"2013"	38839
	"Kansas"	"20"	"2014"	"2014"	39223
	"Kansas"	"20"	"2015"	"2015"	39154
	"Kansas"	"20"	"2016"	"2016"	38053
	"Kansas"	"20"	"2017"	"2017"	36519
	"Kentucky"	"21"	"2007"	"2007"	59368
	"Kentucky"	"21"	"2008"	"2008"	58375
	"Kentucky"	"21"	"2009"	"2009"	57551
	"Kentucky"	"21"	"2010"	"2010"	55784
	"Kentucky"	"21"	"2011"	"2011"	55370
	"Kentucky"	"21"	"2012"	"2012"	55758
	"Kentucky"	"21"	"2013"	"2013"	55686
	"Kentucky"	"21"	"2014"	"2014"	56170
	"Kentucky"	"21"	"2015"	"2015"	55971
	"Kentucky"	"21"	"2016"	"2016"	55449
	"Kentucky"	"21"	"2017"	"2017"	54752
	"Louisiana"	"22"	"2007"	"2007"	66301
	"Louisiana"	"22"	"2008"	"2008"	65268
	"Louisiana"	"22"	"2009"	"2009"	64973
	"Louisiana"	"22"	"2010"	"2010"	62379
	"Louisiana"	"22"	"2011"	"2011"	61888
	"Louisiana"	"22"	"2012"	"2012"	62642
	"Louisiana"	"22"	"2013"	"2013"	63201
	"Louisiana"	"22"	"2014"	"2014"	64497
	"Louisiana"	"22"	"2015"	"2015"	64692
	"Louisiana"	"22"	"2016"	"2016"	63178
	"Louisiana"	"22"	"2017"	"2017"	61018
	"Maine"	"23"	"2007"	"2007"	14120
	"Maine"	"23"	"2008"	"2008"	13609
	"Maine"	"23"	"2009"	"2009"	13470
	"Maine"	"23"	"2010"	"2010"	12970
	"Maine"	"23"	"2011"	"2011"	12704
	"Maine"	"23"	"2012"	"2012"	12798
	"Maine"	"23"	"2013"	"2013"	12776
	"Maine"	"23"	"2014"	"2014"	12698
	"Maine"	"23"	"2015"	"2015"	12607
	"Maine"	"23"	"2016"	"2016"	12705
	"Maine"	"23"	"2017"	"2017"	12298
	"Maryland"	"24"	"2007"	"2007"	78095
	"Maryland"	"24"	"2008"	"2008"	77289
	"Maryland"	"24"	"2009"	"2009"	75059
	"Maryland"	"24"	"2010"	"2010"	73801
	"Maryland"	"24"	"2011"	"2011"	73093
	"Maryland"	"24"	"2012"	"2012"	72883
	"Maryland"	"24"	"2013"	"2013"	71953
	"Maryland"	"24"	"2014"	"2014"	73921
	"Maryland"	"24"	"2015"	"2015"	73616
	"Maryland"	"24"	"2016"	"2016"	73136
	"Maryland"	"24"	"2017"	"2017"	71641
	"Massachusetts"	"25"	"2007"	"2007"	77967
	"Massachusetts"	"25"	"2008"	"2008"	77022
	"Massachusetts"	"25"	"2009"	"2009"	75016
	"Massachusetts"	"25"	"2010"	"2010"	72865
	"Massachusetts"	"25"	"2011"	"2011"	73166
	"Massachusetts"	"25"	"2012"	"2012"	72439
	"Massachusetts"	"25"	"2013"	"2013"	71788
	"Massachusetts"	"25"	"2014"	"2014"	71908
	"Massachusetts"	"25"	"2015"	"2015"	71492
	"Massachusetts"	"25"	"2016"	"2016"	71317
	"Massachusetts"	"25"	"2017"	"2017"	70702
	"Michigan"	"26"	"2007"	"2007"	125261
	"Michigan"	"26"	"2008"	"2008"	121127
	"Michigan"	"26"	"2009"	"2009"	117294
	"Michigan"	"26"	"2010"	"2010"	114531
	"Michigan"	"26"	"2011"	"2011"	114008
	"Michigan"	"26"	"2012"	"2012"	113091
	"Michigan"	"26"	"2013"	"2013"	113489
	"Michigan"	"26"	"2014"	"2014"	114375
	"Michigan"	"26"	"2015"	"2015"	113312
	"Michigan"	"26"	"2016"	"2016"	113315
	"Michigan"	"26"	"2017"	"2017"	111426
	"Minnesota"	"27"	"2007"	"2007"	73735
	"Minnesota"	"27"	"2008"	"2008"	72421
	"Minnesota"	"27"	"2009"	"2009"	70646
	"Minnesota"	"27"	"2010"	"2010"	68610
	"Minnesota"	"27"	"2011"	"2011"	68409
	"Minnesota"	"27"	"2012"	"2012"	68772
	"Minnesota"	"27"	"2013"	"2013"	69159
	"Minnesota"	"27"	"2014"	"2014"	69904
	"Minnesota"	"27"	"2015"	"2015"	69834
	"Minnesota"	"27"	"2016"	"2016"	69749
	"Minnesota"	"27"	"2017"	"2017"	68595
	"Mississippi"	"28"	"2007"	"2007"	46491
	"Mississippi"	"28"	"2008"	"2008"	44947
	"Mississippi"	"28"	"2009"	"2009"	42901
	"Mississippi"	"28"	"2010"	"2010"	40036
	"Mississippi"	"28"	"2011"	"2011"	39860
	"Mississippi"	"28"	"2012"	"2012"	38669
	"Mississippi"	"28"	"2013"	"2013"	38634
	"Mississippi"	"28"	"2014"	"2014"	38736
	"Mississippi"	"28"	"2015"	"2015"	38394
	"Mississippi"	"28"	"2016"	"2016"	37928
	"Mississippi"	"28"	"2017"	"2017"	37357
	"Missouri"	"29"	"2007"	"2007"	81930
	"Missouri"	"29"	"2008"	"2008"	80963
	"Missouri"	"29"	"2009"	"2009"	78905
	"Missouri"	"29"	"2010"	"2010"	76759
	"Missouri"	"29"	"2011"	"2011"	76117
	"Missouri"	"29"	"2012"	"2012"	75446
	"Missouri"	"29"	"2013"	"2013"	75296
	"Missouri"	"29"	"2014"	"2014"	75360
	"Missouri"	"29"	"2015"	"2015"	75061
	"Missouri"	"29"	"2016"	"2016"	74705
	"Missouri"	"29"	"2017"	"2017"	73034
	"Montana"	"30"	"2007"	"2007"	12439
	"Montana"	"30"	"2008"	"2008"	12594
	"Montana"	"30"	"2009"	"2009"	12257
	"Montana"	"30"	"2010"	"2010"	12060
	"Montana"	"30"	"2011"	"2011"	12069
	"Montana"	"30"	"2012"	"2012"	12118
	"Montana"	"30"	"2013"	"2013"	12377
	"Montana"	"30"	"2014"	"2014"	12432
	"Montana"	"30"	"2015"	"2015"	12583
	"Montana"	"30"	"2016"	"2016"	12282
	"Montana"	"30"	"2017"	"2017"	11799
	"Nebraska"	"31"	"2007"	"2007"	26934
	"Nebraska"	"31"	"2008"	"2008"	26989
	"Nebraska"	"31"	"2009"	"2009"	26936
	"Nebraska"	"31"	"2010"	"2010"	25918
	"Nebraska"	"31"	"2011"	"2011"	25720
	"Nebraska"	"31"	"2012"	"2012"	25942
	"Nebraska"	"31"	"2013"	"2013"	26095
	"Nebraska"	"31"	"2014"	"2014"	26794
	"Nebraska"	"31"	"2015"	"2015"	26679
	"Nebraska"	"31"	"2016"	"2016"	26589
	"Nebraska"	"31"	"2017"	"2017"	25821
	"Nevada"	"32"	"2007"	"2007"	41181
	"Nevada"	"32"	"2008"	"2008"	39506
	"Nevada"	"32"	"2009"	"2009"	37612
	"Nevada"	"32"	"2010"	"2010"	35934
	"Nevada"	"32"	"2011"	"2011"	35296
	"Nevada"	"32"	"2012"	"2012"	34911
	"Nevada"	"32"	"2013"	"2013"	35030
	"Nevada"	"32"	"2014"	"2014"	35861
	"Nevada"	"32"	"2015"	"2015"	36298
	"Nevada"	"32"	"2016"	"2016"	36260
	"Nevada"	"32"	"2017"	"2017"	35756
	"New Hampshire"	"33"	"2007"	"2007"	14168
	"New Hampshire"	"33"	"2008"	"2008"	13683
	"New Hampshire"	"33"	"2009"	"2009"	13377
	"New Hampshire"	"33"	"2010"	"2010"	12874
	"New Hampshire"	"33"	"2011"	"2011"	12851
	"New Hampshire"	"33"	"2012"	"2012"	12352
	"New Hampshire"	"33"	"2013"	"2013"	12396
	"New Hampshire"	"33"	"2014"	"2014"	12302
	"New Hampshire"	"33"	"2015"	"2015"	12433
	"New Hampshire"	"33"	"2016"	"2016"	12267
	"New Hampshire"	"33"	"2017"	"2017"	12116
	"New Jersey"	"34"	"2007"	"2007"	116063
	"New Jersey"	"34"	"2008"	"2008"	112710
	"New Jersey"	"34"	"2009"	"2009"	110331
	"New Jersey"	"34"	"2010"	"2010"	106922
	"New Jersey"	"34"	"2011"	"2011"	105883
	"New Jersey"	"34"	"2012"	"2012"	104230
	"New Jersey"	"34"	"2013"	"2013"	102575
	"New Jersey"	"34"	"2014"	"2014"	103305
	"New Jersey"	"34"	"2015"	"2015"	103127
	"New Jersey"	"34"	"2016"	"2016"	102647
	"New Jersey"	"34"	"2017"	"2017"	101250
	"New Mexico"	"35"	"2007"	"2007"	30616
	"New Mexico"	"35"	"2008"	"2008"	30173
	"New Mexico"	"35"	"2009"	"2009"	29000
	"New Mexico"	"35"	"2010"	"2010"	27850
	"New Mexico"	"35"	"2011"	"2011"	27289
	"New Mexico"	"35"	"2012"	"2012"	27068
	"New Mexico"	"35"	"2013"	"2013"	26354
	"New Mexico"	"35"	"2014"	"2014"	26052
	"New Mexico"	"35"	"2015"	"2015"	25816
	"New Mexico"	"35"	"2016"	"2016"	24692
	"New Mexico"	"35"	"2017"	"2017"	23767
	"New York"	"36"	"2007"	"2007"	253451
	"New York"	"36"	"2008"	"2008"	250383
	"New York"	"36"	"2009"	"2009"	248110
	"New York"	"36"	"2010"	"2010"	244375
	"New York"	"36"	"2011"	"2011"	241312
	"New York"	"36"	"2012"	"2012"	240916
	"New York"	"36"	"2013"	"2013"	236980
	"New York"	"36"	"2014"	"2014"	238773
	"New York"	"36"	"2015"	"2015"	237274
	"New York"	"36"	"2016"	"2016"	234283
	"New York"	"36"	"2017"	"2017"	229737
	"North Carolina"	"37"	"2007"	"2007"	131037
	"North Carolina"	"37"	"2008"	"2008"	130839
	"North Carolina"	"37"	"2009"	"2009"	126845
	"North Carolina"	"37"	"2010"	"2010"	122350
	"North Carolina"	"37"	"2011"	"2011"	120389
	"North Carolina"	"37"	"2012"	"2012"	119831
	"North Carolina"	"37"	"2013"	"2013"	119002
	"North Carolina"	"37"	"2014"	"2014"	120975
	"North Carolina"	"37"	"2015"	"2015"	120843
	"North Carolina"	"37"	"2016"	"2016"	120779
	"North Carolina"	"37"	"2017"	"2017"	120125
	"North Dakota"	"38"	"2007"	"2007"	8840
	"North Dakota"	"38"	"2008"	"2008"	8938
	"North Dakota"	"38"	"2009"	"2009"	9001
	"North Dakota"	"38"	"2010"	"2010"	9104
	"North Dakota"	"38"	"2011"	"2011"	9527
	"North Dakota"	"38"	"2012"	"2012"	10106
	"North Dakota"	"38"	"2013"	"2013"	10599
	"North Dakota"	"38"	"2014"	"2014"	11359
	"North Dakota"	"38"	"2015"	"2015"	11314
	"North Dakota"	"38"	"2016"	"2016"	11383
	"North Dakota"	"38"	"2017"	"2017"	10737
	"Ohio"	"39"	"2007"	"2007"	150879
	"Ohio"	"39"	"2008"	"2008"	148821
	"Ohio"	"39"	"2009"	"2009"	144841
	"Ohio"	"39"	"2010"	"2010"	139128
	"Ohio"	"39"	"2011"	"2011"	137918
	"Ohio"	"39"	"2012"	"2012"	138483
	"Ohio"	"39"	"2013"	"2013"	138936
	"Ohio"	"39"	"2014"	"2014"	139467
	"Ohio"	"39"	"2015"	"2015"	139264
	"Ohio"	"39"	"2016"	"2016"	138085
	"Ohio"	"39"	"2017"	"2017"	136832
	"Oklahoma"	"40"	"2007"	"2007"	55065
	"Oklahoma"	"40"	"2008"	"2008"	54781
	"Oklahoma"	"40"	"2009"	"2009"	54553
	"Oklahoma"	"40"	"2010"	"2010"	53238
	"Oklahoma"	"40"	"2011"	"2011"	52272
	"Oklahoma"	"40"	"2012"	"2012"	52751
	"Oklahoma"	"40"	"2013"	"2013"	53369
	"Oklahoma"	"40"	"2014"	"2014"	53339
	"Oklahoma"	"40"	"2015"	"2015"	53122
	"Oklahoma"	"40"	"2016"	"2016"	52592
	"Oklahoma"	"40"	"2017"	"2017"	50214
	"Oregon"	"41"	"2007"	"2007"	49378
	"Oregon"	"41"	"2008"	"2008"	49096
	"Oregon"	"41"	"2009"	"2009"	47132
	"Oregon"	"41"	"2010"	"2010"	45540
	"Oregon"	"41"	"2011"	"2011"	45155
	"Oregon"	"41"	"2012"	"2012"	45067
	"Oregon"	"41"	"2013"	"2013"	45155
	"Oregon"	"41"	"2014"	"2014"	45556
	"Oregon"	"41"	"2015"	"2015"	45655
	"Oregon"	"41"	"2016"	"2016"	45535
	"Oregon"	"41"	"2017"	"2017"	43631
	"Pennsylvania"	"42"	"2007"	"2007"	150713
	"Pennsylvania"	"42"	"2008"	"2008"	149273
	"Pennsylvania"	"42"	"2009"	"2009"	146434
	"Pennsylvania"	"42"	"2010"	"2010"	143321
	"Pennsylvania"	"42"	"2011"	"2011"	143178
	"Pennsylvania"	"42"	"2012"	"2012"	142514
	"Pennsylvania"	"42"	"2013"	"2013"	140921
	"Pennsylvania"	"42"	"2014"	"2014"	142268
	"Pennsylvania"	"42"	"2015"	"2015"	141047
	"Pennsylvania"	"42"	"2016"	"2016"	139409
	"Pennsylvania"	"42"	"2017"	"2017"	137745
	"Rhode Island"	"44"	"2007"	"2007"	12376
	"Rhode Island"	"44"	"2008"	"2008"	12048
	"Rhode Island"	"44"	"2009"	"2009"	11442
	"Rhode Island"	"44"	"2010"	"2010"	11177
	"Rhode Island"	"44"	"2011"	"2011"	10960
	"Rhode Island"	"44"	"2012"	"2012"	10926
	"Rhode Island"	"44"	"2013"	"2013"	10809
	"Rhode Island"	"44"	"2014"	"2014"	10823
	"Rhode Island"	"44"	"2015"	"2015"	10993
	"Rhode Island"	"44"	"2016"	"2016"	10798
	"Rhode Island"	"44"	"2017"	"2017"	10638
	"South Carolina"	"45"	"2007"	"2007"	62875
	"South Carolina"	"45"	"2008"	"2008"	63071
	"South Carolina"	"45"	"2009"	"2009"	60620
	"South Carolina"	"45"	"2010"	"2010"	58342
	"South Carolina"	"45"	"2011"	"2011"	57393
	"South Carolina"	"45"	"2012"	"2012"	57155
	"South Carolina"	"45"	"2013"	"2013"	56795
	"South Carolina"	"45"	"2014"	"2014"	57627
	"South Carolina"	"45"	"2015"	"2015"	58139
	"South Carolina"	"45"	"2016"	"2016"	57342
	"South Carolina"	"45"	"2017"	"2017"	57029
	"South Dakota"	"46"	"2007"	"2007"	12261
	"South Dakota"	"46"	"2008"	"2008"	12071
	"South Dakota"	"46"	"2009"	"2009"	11934
	"South Dakota"	"46"	"2010"	"2010"	11811
	"South Dakota"	"46"	"2011"	"2011"	11846
	"South Dakota"	"46"	"2012"	"2012"	12104
	"South Dakota"	"46"	"2013"	"2013"	12248
	"South Dakota"	"46"	"2014"	"2014"	12283
	"South Dakota"	"46"	"2015"	"2015"	12336
	"South Dakota"	"46"	"2016"	"2016"	12275
	"South Dakota"	"46"	"2017"	"2017"	12134
	"Tennessee"	"47"	"2007"	"2007"	86711
	"Tennessee"	"47"	"2008"	"2008"	85560
	"Tennessee"	"47"	"2009"	"2009"	82211
	"Tennessee"	"47"	"2010"	"2010"	79495
	"Tennessee"	"47"	"2011"	"2011"	79588
	"Tennessee"	"47"	"2012"	"2012"	80371
	"Tennessee"	"47"	"2013"	"2013"	79992
	"Tennessee"	"47"	"2014"	"2014"	81602
	"Tennessee"	"47"	"2015"	"2015"	81685
	"Tennessee"	"47"	"2016"	"2016"	80807
	"Tennessee"	"47"	"2017"	"2017"	81016
	"Texas"	"48"	"2007"	"2007"	407625
	"Texas"	"48"	"2008"	"2008"	405554
	"Texas"	"48"	"2009"	"2009"	401977
	"Texas"	"48"	"2010"	"2010"	386118
	"Texas"	"48"	"2011"	"2011"	377445
	"Texas"	"48"	"2012"	"2012"	382727
	"Texas"	"48"	"2013"	"2013"	387340
	"Texas"	"48"	"2014"	"2014"	399766
	"Texas"	"48"	"2015"	"2015"	403618
	"Texas"	"48"	"2016"	"2016"	398047
	"Texas"	"48"	"2017"	"2017"	382050
	"Utah"	"49"	"2007"	"2007"	55130
	"Utah"	"49"	"2008"	"2008"	55634
	"Utah"	"49"	"2009"	"2009"	53887
	"Utah"	"49"	"2010"	"2010"	52258
	"Utah"	"49"	"2011"	"2011"	51223
	"Utah"	"49"	"2012"	"2012"	51465
	"Utah"	"49"	"2013"	"2013"	50957
	"Utah"	"49"	"2014"	"2014"	51154
	"Utah"	"49"	"2015"	"2015"	50778
	"Utah"	"49"	"2016"	"2016"	50464
	"Utah"	"49"	"2017"	"2017"	48585
	"Vermont"	"50"	"2007"	"2007"	6513
	"Vermont"	"50"	"2008"	"2008"	6339
	"Vermont"	"50"	"2009"	"2009"	6110
	"Vermont"	"50"	"2010"	"2010"	6223
	"Vermont"	"50"	"2011"	"2011"	6078
	"Vermont"	"50"	"2012"	"2012"	6009
	"Vermont"	"50"	"2013"	"2013"	5975
	"Vermont"	"50"	"2014"	"2014"	6130
	"Vermont"	"50"	"2015"	"2015"	5903
	"Vermont"	"50"	"2016"	"2016"	5756
	"Vermont"	"50"	"2017"	"2017"	5655
	"Virginia"	"51"	"2007"	"2007"	108884
	"Virginia"	"51"	"2008"	"2008"	106686
	"Virginia"	"51"	"2009"	"2009"	105059
	"Virginia"	"51"	"2010"	"2010"	103002
	"Virginia"	"51"	"2011"	"2011"	102652
	"Virginia"	"51"	"2012"	"2012"	103013
	"Virginia"	"51"	"2013"	"2013"	102147
	"Virginia"	"51"	"2014"	"2014"	103300
	"Virginia"	"51"	"2015"	"2015"	103303
	"Virginia"	"51"	"2016"	"2016"	102460
	"Virginia"	"51"	"2017"	"2017"	100391
	"Washington"	"53"	"2007"	"2007"	88978
	"Washington"	"53"	"2008"	"2008"	90321
	"Washington"	"53"	"2009"	"2009"	89313
	"Washington"	"53"	"2010"	"2010"	86539
	"Washington"	"53"	"2011"	"2011"	86976
	"Washington"	"53"	"2012"	"2012"	87463
	"Washington"	"53"	"2013"	"2013"	86577
	"Washington"	"53"	"2014"	"2014"	88585
	"Washington"	"53"	"2015"	"2015"	88990
	"Washington"	"53"	"2016"	"2016"	90505
	"Washington"	"53"	"2017"	"2017"	87562
	"West Virginia"	"54"	"2007"	"2007"	21994
	"West Virginia"	"54"	"2008"	"2008"	21501
	"West Virginia"	"54"	"2009"	"2009"	21268
	"West Virginia"	"54"	"2010"	"2010"	20470
	"West Virginia"	"54"	"2011"	"2011"	20717
	"West Virginia"	"54"	"2012"	"2012"	20827
	"West Virginia"	"54"	"2013"	"2013"	20825
	"West Virginia"	"54"	"2014"	"2014"	20301
	"West Virginia"	"54"	"2015"	"2015"	19805
	"West Virginia"	"54"	"2016"	"2016"	19079
	"West Virginia"	"54"	"2017"	"2017"	18675
	"Wisconsin"	"55"	"2007"	"2007"	72784
	"Wisconsin"	"55"	"2008"	"2008"	72261
	"Wisconsin"	"55"	"2009"	"2009"	70843
	"Wisconsin"	"55"	"2010"	"2010"	68487
	"Wisconsin"	"55"	"2011"	"2011"	67810
	"Wisconsin"	"55"	"2012"	"2012"	67295
	"Wisconsin"	"55"	"2013"	"2013"	66649
	"Wisconsin"	"55"	"2014"	"2014"	67161
	"Wisconsin"	"55"	"2015"	"2015"	67041
